id,name,cas_number,smiles,type,fragment_type,molecular_weight,density,viscosity,thermal_conductivity,specific_heat_capacity,thermal_stability,melting_point,boiling_point,freezing_point,vapor_pressure,surface_tension,log_p,hydrogen_bond_donor_count,hydrogen_bond_acceptor_count,tpsa,rotatable_bond_count,complexity,charge,heavy_atom_count,canonical_smiles,inchi,solubility_in_water,hygroscopicity,chemical_stability,radiation_stability,flammability,autoignition_temperature,ph,co2_absorption_capacity,co2_selectivity,co2_absorption_rate,h2o_absorption_capacity,h2o_selectivity,h2o_absorption_rate,contaminant_absorption_capacity,regeneration_energy_requirement,absorption_kinetics,toxicity_rating,ld50,exposure_limits,environmental_impact,biodegradability,material_compatibility,corrosion_rates,operating_temperature_range,operating_pressure_range,handling_precautions,storage_conditions,cost,availability,synthesis_complexity,regulatory_status,notes
1,Ammonium,2141,[NH4+],Cation,cation,18.0390,,,,,,,,,,,,1,0,0,0,0,0,1,1,[NH4+],InChI=1S/H3N/h1H3/p+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Phosphonium,8146196,[PH4+],Cation,cation,35.0060,,,,,,,,,,,,1,0,0,0,0,0,1,1,[PH4+],InChI=1S/H3P/h1H3/p+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Imidazolium,109776,c1cc[nH]c1,Cation,cation,67.0900,,,,,,,,,,,,1,1,0,15.8,0,22.8,1,5,C1=CNC=C1,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pyridinium,4880,c1ccncc1,Cation,cation,85.1500,,,,,,,,,,,,1,0,1,12,0,30.9,1,6,C1CCNCC1,"InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Methylimidazolium,31651745,CN1C=CN=C1,Cation,cation,97.1200,,,,,,,,,,,,1,2,2,40.7,1,54.9,1,7,CNC1=NC=CN1,"InChI=1S/C4H7N3/c1-5-4-6-2-3-7-4/h2-3H,1H3,(H2,5,6,7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ethylimidazolium,29533113,CCN1C=CN=C1,Cation,cation,111.1500,,,,,,,,,,,,1,2,2,40.7,2,64.7,1,8,CCNC1=NC=CN1,"InChI=1S/C5H9N3/c1-2-6-5-7-3-4-8-5/h3-4H,2H2,1H3,(H2,6,7,8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tetraethylammonium,9715,[N+](CC)(CC)(CC)CC,Cation,cation,130.2500,,,,,,,,,,,,1,0,0,0,4,47.5,1,9,CC[N+](CC)(CC)CC,"InChI=1S/C8H20N/c1-5-9(6-2,7-3)8-4/h5-8H2,1-4H3/q+1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tetramethylammonium,554105,[N+](C)(C)(C)C,Cation,cation,74.1400,,,,,,,,,,,,1,0,0,0,0,19.1,1,5,C[N+](C)(C)C,"InChI=1S/C4H12N/c1-5(2,3)4/h1-4H3/q+1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1-Butyl-3-methylimidazolium,30229288,CCCCN1C=CN=C1C,Cation,cation,153.2200,,,,,,,,,,,,1,1,2,29.8,4,106,1,11,CCCCNC1=NC=CN1C,"InChI=1S/C8H15N3/c1-3-4-5-9-8-10-6-7-11(8)2/h6-7H,3-5H2,1-2H3,(H,9,10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1-Octyl-3-methylimidazolium,297560884,CCCCCCCCN1C=CN=C1C,Cation,cation,209.3300,,,,,,,,,,,,1,1,2,29.8,8,150,1,15,CCCCCCCCNC1=NC=CN1C,"InChI=1S/C12H23N3/c1-3-4-5-6-7-8-9-13-12-14-10-11-15(12)2/h10-11H,3-9H2,1-2H3,(H,13,14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
